url_produk,nama_produk,kategori,sub_kategori,harga_produk,jumlah_terjual,rating,nama_toko,marketplace,label,nama_produk_clean
https://www.tokopedia.com/sambel-pecel-khas-bogor/sambal-pecel-sb-khas-bogor-1734336386226423703?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,SAMBAL PECEL SB KHAS BOGOR,Makanan,Lauk & Bahan Makanan,38000,0,0.0,Sambel Pecel Khas Bogor,tokopedia,0,sambal pecel sb khas bogor
https://www.tokopedia.com/rindu-bogor/kopi-cap-teko-toko-agus-kemasan-250gr-kopi-lokal-khas-bogor-bubuk-coffee-1730910724746545091?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Cap Teko Toko Agus kemasan 250gr Kopi Lokal Khas Bogor Bubuk Coffee,Minuman,Kopi,34500,17,5.0,Rindu Bogor,tokopedia,1,kopi cap teko toko agus kemas kopi lokal khas bogor bubuk coffee
https://www.tokopedia.com/unggulbarokah/original-keripik-pisang-kepok-renyah-200g-khas-ukm-kab-bogor-unggul-barokah-organik-rendah-lemak-food-snacks-cemilan-snack-1729605490968004843?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Original Keripik Pisang Kepok Renyah 200g Khas UKM Kab Bogor unggul barokah Organik Rendah lemak Food Snacks Cemilan Snack,Makanan,Camilan & Snack,25000,100,5.0,Unggul Barokah,tokopedia,1,keripik pisang pok renyah g khas ukm kab bogor unggul barokah organik rendah lemak food snacks cemilan snack
https://www.tokopedia.com/unggulbarokah/keripik-pisang-kepok-original-renyah-250g-khas-ukm-kab-bogor-unggul-barokah-food-snacks-snack-ungu-cemilan-1729572231987431659?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Keripik Pisang Kepok Original Renyah 250g Khas UKM Kab Bogor Unggul Barokah Food Snacks Snack Ungu Cemilan,Makanan,Camilan & Snack,30000,100,4.9,Unggul Barokah,tokopedia,1,keripik pisang pok renyah g khas ukm kab bogor unggul barokah food snacks snack ungu cemilan
https://www.tokopedia.com/nurulaziz/kerupuk-asoy-mentah-khas-bogor-enak-mekar-renyah-gurih-1000-gram-29366?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kerupuk asoy mentah khas bogor,Makanan,Camilan & Snack,31000,100,4.8,Nurul Aziz Store,tokopedia,1,kerupuk asoy mentah khas bogor
https://www.tokopedia.com/cahyamuly/rengginang-mentah-khas-bogor-isi-50-1733861125321688355?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Mentah khas bogor isi 50,Makanan,Camilan & Snack,28000,6,4.8,cahyamulya,tokopedia,0,rengginang mentah khas bogor isi
https://www.tokopedia.com/tukang-taman-71/kopi-bubuk-cap-teko-khas-bogor?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Bubuk cap Teko khas bogor,Minuman,Kopi,39000,15,5.0,Tukang Taman 71,tokopedia,1,kopi bubuk cap teko khas bogor
https://www.tokopedia.com/aruyshp/renggining-tepung-beras-isi-30-pcs-khas-bogor-1732127212791170465?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Renggining Tepung beras isi 30 pcs khas Bogor,Makanan,Camilan & Snack,20000,50,4.8,aruyshp,tokopedia,1,renggining tepung beras isi khas bogor
https://www.tokopedia.com/khodirr-store/promo-kopi-hitam-tanpa-gula-cap-teko-khas-bogor-40gr-1731669090749810223?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,PROMO!! KOPI HITAM TANPA GULA CAP TEKO KHAS BOGOR 40gr,Minuman,Kopi,7500,70,4.9,khodirr store,tokopedia,1,kopi hitam gula cap teko khas bogor
https://www.tokopedia.com/yosantheng/kue-kering-kuping-gajah-khas-bogor-500-gr-food-gula-cookies-1729621934461389735?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kue Kering Kuping Gajah Khas Bogor 500 gr Food Gula Cookies,Makanan,Kue & Roti,25000,0,0.0,yosantheng,tokopedia,0,kue kering kuping gajah khas bogor food gula cookies
https://www.tokopedia.com/aneka-bogor/manisan-pala-kering-1-kg-khas-bogor-termurah-kiloan-rendah-lemak-organik-makanan-food-snacks-1729892260148120035?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Manisan Pala Kering 1 Kg Khas Bogor Termurah Kiloan Rendah lemak Organik Makanan Food Snacks,Makanan,Camilan & Snack,50500,2,4.8,Aneka Bogor,tokopedia,0,manis pala kering khas bogor murah kilo rendah lemak organik makan food snacks
https://www.tokopedia.com/sha02shop/dodol-ketan-asli-khas-bogor-200gram-1731252894738253290?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Dodol Ketan asli Khas Bogor 200gram,Makanan,Camilan & Snack,25000,0,0.0,Sha02Shop,tokopedia,0,dodol ketan khas bogor
https://www.tokopedia.com/yosantheng/kue-kering-semprong-khas-bogor-netto-500-gr-gula-food-1729621935005272999?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kue Kering Semprong Khas Bogor Netto 500 gr Gula Food,Makanan,Kue & Roti,25000,11,0.0,yosantheng,tokopedia,1,kue kering semprong khas bogor netto gula food
https://www.tokopedia.com/chotaofid/keripik-talas-coklat-khas-bogor-camilan-manis-kriuk-lezat-chotaof-id-1734237591179724412?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,KERIPIK TALAS COKLAT KHAS BOGOR | Camilan Manis Kriuk Lezat ChoTaOf.id,Makanan,Camilan & Snack,16999,8,5.0,ChoTaOf.id,tokopedia,0,keripik talas coklat khas bogor camil manis kriuk lezat chotaof id
https://www.tokopedia.com/pg-olshop-791/rangining-makanan-ringan-mentah-khas-bogor-1729749216533448635?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rangining makanan ringan mentah khas bogor,Makanan,Camilan & Snack,45000,0,0.0,PG OLSHOP,tokopedia,0,rangining makan ringan mentah khas bogor
https://www.tokopedia.com/dewisur/keripik-seblok-khas-bogor-500gram-1731547415717578341?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,keripik seblok khas bogor 500gram,Makanan,Camilan & Snack,30000,0,0.0,Petco Petshop,tokopedia,0,keripik blok khas bogor
https://www.tokopedia.com/djadjasnack/kripik-pisang-koin-renyah-dan-manis-250gr-100gr-khas-bogor-1733848232964753009?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,KRIPIK PISANG KOIN RENYAH DAN MANIS 250GR-100GR KHAS BOGOR,Makanan,Camilan & Snack,6600,2,5.0,DJADJASNACK,tokopedia,0,kripik pisang koin renyah manis khas bogor
https://www.tokopedia.com/de-aloevera/rengginang-mentah-khas-bogor-isi-30-keping-ketan-hitam-aac2b?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,RENGGINANG MENTAH KHAS BOGOR ISI 30 KEPING,Makanan,Camilan & Snack,23000,0,0.0,De Aloevera,tokopedia,0,rengginang mentah khas bogor isi keping
https://www.tokopedia.com/kinar-pramestri/rengginang-khas-bogor-isi-20-hitam-merah-putih-goreng-food-pedas-1731160886468117658?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Khas Bogor isi 20 Hitam Merah Putih Goreng Food Pedas,Makanan,Camilan & Snack,17000,0,0.0,Kinar Pramestri,tokopedia,0,rengginang khas bogor isi hitam merah putih goreng food pedas
https://www.tokopedia.com/moonlightoutdoor/kopi-liong-cap-naga-bulan-original-khas-bogor?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Liong Cap Naga Bulan Original Khas Bogor,Minuman,Kopi,3500,100,4.9,Moonlight Outdoor,tokopedia,1,kopi liong cap naga khas bogor
https://www.tokopedia.com/mega-wangi-olshop/1-kg-kerupuk-asoy-mentah-khas-kota-bogor-1733076569259672630?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 kg KERUPUK ASOY MENTAH KHAS KOTA BOGOR,Makanan,Camilan & Snack,29900,4,5.0,mega wangi olshop,tokopedia,0,kerupuk asoy mentah khas kota bogor
https://www.tokopedia.com/doa-restu-snacks/mini-rangginang-oleh-oleh-khas-bogor-300-gram-isi-40-keping-dores-snacks-cemilan-kering-1732416883313248186?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Mini Rangginang Oleh-oleh Khas Bogor 300 gram Isi 40 Keping - DORES Snacks Cemilan Kering,Makanan,Camilan & Snack,17000,1,4.7,Doa Restu Snacks,tokopedia,0,mini rangginang khas bogor isi keping dores snacks cemilan kering
https://www.tokopedia.com/tokocepoet/dodol-khas-bogor-ukuran-1kg-1731018387606046582?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,dodol khas bogor ukuran 1kg,Makanan,Camilan & Snack,45000,0,0.0,tokocepoet,tokopedia,0,dodol khas bogor ukur
https://www.tokopedia.com/kinar-pramestri/rengginang-mini-khas-bogor-isi-60-original-ketan-asli-1731160873726215322?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Mini Khas Bogor isi 60 Original Ketan Asli,Makanan,Camilan & Snack,24000,1,0.0,Kinar Pramestri,tokopedia,0,rengginang mini khas bogor isi ketan
https://www.tokopedia.com/amanah-collections-1/1-kg-kerupuk-asoy-khas-bogor-1730441753679791793?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 Kg Kerupuk Asoy Khas Bogor,Makanan,Camilan & Snack,30900,21,3.0,Amanah Collections 1,tokopedia,1,kerupuk asoy khas bogor
https://www.tokopedia.com/bstore-143/kerupuk-mentah-asoy-1-kg-khas-bogor-opak-1730952403953419878?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kerupuk Mentah Asoy 1 kg khas Bogor / opak,Makanan,Camilan & Snack,32000,0,0.0,Bstore 143,tokopedia,0,kerupuk mentah asoy khas bogor opak
https://www.tokopedia.com/bstore-143/kerupuk-mentah-asoy-1-kg-khas-bogor-opak-1730952407584638566?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kerupuk Mentah Asoy 1 kg khas Bogor / opak,Makanan,Camilan & Snack,32000,0,0.0,Bstore 143,tokopedia,0,kerupuk mentah asoy khas bogor opak
https://www.tokopedia.com/snack-barbar77/manisan-buah-pala-kering-250-gr-oleh-oleh-khas-bogor-1729860082874157766?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,MANISAN BUAH PALA KERING 250 gr/OLEH -OLEH KHAS BOGOR,Makanan,Camilan & Snack,14000,12,0.0,SNACK BAAR77,tokopedia,1,manis buah pala kering khas bogor
https://www.tokopedia.com/safashop/1-kg-kerupuk-asoy-khas-kota-bogor-1730432515673195581?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 kg kerupuk asoy khas kota bogor,Makanan,Camilan & Snack,30000,100,4.9,Safa'shop,tokopedia,1,kerupuk asoy khas kota bogor
https://www.tokopedia.com/archive-rv13-1677974450/kacang-polong-khas-bogor-1-kg-1730840453085365472?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kacang Polong Khas Bogor 1 KG,Makanan,Camilan & Snack,29250,500,4.6,Kautsar Punya,tokopedia,1,kacang polong khas bogor
https://www.tokopedia.com/viemargallery/kue-lapis-bogor-sangkuriang-full-talas-oleh-oleh-khas-bogor-kardus-01853?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kue Lapis Bogor Sangkuriang Full Talas Oleh Oleh Khas Bogor,Makanan,Kue & Roti,15000,3,5.0,VieMar Gallery,tokopedia,0,kue lapis bogor sangkuriang full talas khas bogor
https://www.tokopedia.com/bogorsnack/bigor-kacang-bogor-premium-khas-bogor-500gram-kualitas-terjamin-cocok-dimasak-atau-dikonsumsi-langsung-1734276106116564361?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Bigor Kacang Bogor Premium Khas Bogor 500gram Kualitas Terjamin Cocok Dimasak atau Dikonsumsi Langsung,Makanan,Camilan & Snack,13000,50,4.1,Bogorsnack,tokopedia,1,bigor kacang bogor premium khas bogor kualitas jamin cocok masak konsumsi langsung
https://www.tokopedia.com/asv-amanah/dodol-jenang-asli-ketan-hitam-125-gram-khas-bogor-fres-legit-1732069041255908704?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Dodol/ jenang asli ketan hitam 125 gram khas bogor fres legit,Makanan,Camilan & Snack,12960,12,5.0,ASV AMANAH,tokopedia,1,dodol jenang ketan hitam khas bogor fres legit
https://www.tokopedia.com/snack-prilly/keripik-pisang-khas-bogor-1733787194318095658?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,keripik pisang khas bogor,Makanan,Camilan & Snack,13500,0,0.0,snack prilly,tokopedia,0,keripik pisang khas bogor
https://www.tokopedia.com/ignyacikaaaaaa/rengginang-terasi-100-ketan-asli-khas-bogor-1731260475142538633?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang terasi 100% ketan asli khas bogor,Makanan,Camilan & Snack,22500,0,0.0,Ignyacikaaaaaa,tokopedia,0,rengginang terasi ketan khas bogor
https://www.tokopedia.com/chotaofid/taro-chips-chocolate-khas-bogor-160gr-1732154602791601788?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,TARO CHIPS CHOCOLATE Khas Bogor  160gr,Makanan,Camilan & Snack,11010,0,0.0,ChoTaOf.id,tokopedia,0,taro chips chocolate khas bogor
https://www.tokopedia.com/berkah-store-165/kerupuk-asoy-mentah-khas-bogor-1-kg-grosir-termurah-1730975710478369887?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kerupuk asoy mentah khas bogor 1 kg grosir termurah,Makanan,Camilan & Snack,32000,0,0.0,Berkah store 165_NEW,tokopedia,0,kerupuk asoy mentah khas bogor grosir murah
https://www.tokopedia.com/jujustore17/tape-singkong-mentega-manis-1kg-dan-2kg-khas-bogor-1733337159819364333?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,tape singkong mentega manis 1kg dan 2kg khas Bogor,Makanan,Camilan & Snack,18600,100,5.0,jujustore17,tokopedia,1,tape singkong mentega manis khas bogor
https://www.tokopedia.com/toko-ibu-nero/dodol-manis-ibu-nr-snack-dodol-ketan-hitam-khas-bogor-jawa-barat-1731422110284875655?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Dodol Manis IBU NR - Snack Dodol Ketan Hitam khas Bogor Jawa Barat,Makanan,Camilan & Snack,20000,0,0.0,toko ibu Nero,tokopedia,0,dodol manis nr snack dodol ketan hitam khas bogor jawa barat
https://www.tokopedia.com/nuansa-tanaman01/oleh-oleh-khas-bogor-keripik-bayam-crispi-cripik-bayam-crispy-homemade-camilan-kripik-1730846645728478364?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Oleh Oleh Khas Bogor Keripik Bayam Crispi -Cripik Bayam Crispy Homemade Camilan Kripik,Makanan,Camilan & Snack,25000,0,0.0,NUANSA TANAMAN01,tokopedia,0,khas bogor keripik bayam crispi cripik bayam crispy homemade camil kripik
https://www.tokopedia.com/rindu-bogor/kopi-cap-oplet-khas-bogor-tanpa-gula-30-sachet-7gr-bag-cup-coffee-botol-robusta-susu-syrup-1730844719408515011?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,"Kopi Cap Oplet Khas Bogor Tanpa Gula - 30 Sachet @ 7gr - Bag, Cup, Coffee, Botol, Robusta, Susu Syrup",Minuman,Kopi,39500,40,5.0,Rindu Bogor,tokopedia,1,kopi cap oplet khas bogor gula sachet bag cup coffee botol robusta susu syrup
https://www.tokopedia.com/nanabitesbogor/my-kripis-keripik-pisang-coklat-150gr-camilan-manis-renyah-khas-bogor-1732129883526497284?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,My Kripis Keripik Pisang Coklat 150gr – Camilan Manis Renyah Khas Bogor,Makanan,Camilan & Snack,29900,0,0.0,Nanabitesbogor,tokopedia,0,my kripis keripik pisang coklat camil manis renyah khas bogor
https://www.tokopedia.com/3pandawakuliner/rangginang-oleh-oleh-khas-bogor-siap-goreng-1731818538591814931?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rangginang oleh-oleh khas Bogor Siap Goreng,Makanan,Camilan & Snack,23900,6,5.0,3PANDAWA KULINER,tokopedia,0,rangginang khas bogor goreng
https://www.tokopedia.com/chotaofid/keripik-talas-coklat-500-gram-camilan-manis-kriuk-lezat-khas-bogor-by-chotaof-id-1733539184047392380?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,KERIPIK TALAS COKLAT 500 gram | Camilan manis kriuk lezat khas Bogor | By ChoTaOf.id,Makanan,Camilan & Snack,56960,0,0.0,ChoTaOf.id,tokopedia,0,keripik talas coklat camil manis kriuk lezat khas bogor by chotaof id
https://www.tokopedia.com/snack-fj33/snack-fj33-keripik-basreng-daun-jeruk-cikruh-khas-bogor-camilan-khas-bogor-1734049357704431033?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,SNACK FJ33 Keripik Basreng Daun Jeruk Cikruh Khas Bogor Camilan Khas Bogor,Makanan,Camilan & Snack,19500,10,5.0,Snack Fj33,tokopedia,0,snack fj keripik basreng daun jeruk cikruh khas bogor camil khas bogor
https://www.tokopedia.com/betterlandstore/baru-makanan-kripik-talas-renyah-cocok-untuk-oleh-oleh-khas-bogor?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,[BARU] Makanan Kripik Talas Renyah Cocok Untuk Oleh Oleh Khas Bogor,Makanan,Camilan & Snack,44400,2,0.0,Better Land,tokopedia,0,makan kripik talas renyah cocok khas bogor
https://www.tokopedia.com/denara-food/denara-food-keripik-talas-bogor-oleh-oleh-khas-bogor-1731631589715183120?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Denara food-Keripik Talas Bogor (oleh oleh khas Bogor),Makanan,Camilan & Snack,18000,1,0.0,Denara Food,tokopedia,0,denara food keripik talas bogor khas bogor
https://www.tokopedia.com/el-blunder/kopi-hitam-cap-liong-bulan-khas-bogor-1pack-20pcs-1731560504559568713?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Hitam Cap Liong Bulan Khas Bogor 1pack (20pcs),Minuman,Kopi,22400,24,4.8,EL Blunder,tokopedia,1,kopi hitam cap liong khas bogor pack
